AnimalID,DisplayName,MaxHP,MoveSpeed,AnimalType
rabbit,토끼,30,3.0,Passive
deer,사슴,40,4.0,Passive
wolf,늑대,60,4.5,Hostile
bear,곰,60,3.0,Hostile
reindeer,순록,60,4.0,Passive
chick,병아리,10,2.0,Passive
cow,소,60,2.5,Passive
donkey,당나귀,50,3.0,Passive
duck,오리,20,2.5,Passive
hen,암탉,20,2.0,Passive
pig,돼지,40,2.5,Passive
rooster,수탉,25,2.5,Passive
sheep,양,35,2.5,Passive
zebra,얼룩말,60,4.5,Passive
goat,염소,35,3.0,Passive
goose,거위,25,2.5,Passive
horse,말,70,5.0,Passive
squirrel,다람쥐,15,3.5,Passive
monkey,원숭이,30,3.5,Passive
giraffe,기린,80,3.0,Passive
fox,여우,40,4.0,Passive
snake,뱀,30,3.0,Hostile
cheetah,치타,50,6.0,Hostile
hippo,하마,120,2.5,Hostile
elephant,코끼리,150,2.5,Hostile
rhino,코뿔소,130,3.0,Hostile
gorilla,고릴라,90,3.5,Hostile
tiger,호랑이,80,4.5,Hostile
crocodile,악어,90,2.5,Hostile
husky,허스키,50,4.5,Hostile
lynx,스라소니,55,4.5,Hostile
python,비단뱀,60,2.5,Hostile
lion,사자,90,4.5,Hostile
wildebeest,누,70,4.0,Hostile
moose,무스,70,3.5,Hostile
bull,황소,70,3.5,Hostile
bison,들소,80,3.5,Hostile
hedgehog,고슴도치,20,2.0,Hostile
